"date","group","mean","max","min","sd","cv","n","method","category","site","length"
1998-04-16,NA,12.2,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-17,NA,12.56,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-18,NA,13.22,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-19,NA,13.85,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-20,NA,14.61,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-21,NA,15.25,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-22,NA,15.7,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-23,NA,15.48,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-24,NA,14.86,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-25,NA,14.48,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-26,NA,14.36,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-27,NA,14.69,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-28,NA,15.13,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-29,NA,15.72,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-30,NA,16.32,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-05-01,NA,16.23,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-05-02,NA,15.76,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-05-03,NA,15.48,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-05-04,NA,15.29,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-05-05,NA,14.78,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-05-06,NA,14.38,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-05-07,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-09,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-22,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-26,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-28,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-30,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-05-31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-02,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-03,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-04,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-07,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-09,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-22,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-26,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-28,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-06-30,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-02,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-03,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-04,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-07,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-09,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-22,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-26,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-28,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-30,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-07-31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-02,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-03,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-04,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-07,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-09,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-22,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-26,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-28,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-30,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-08-31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-02,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-03,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-04,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-07,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-09,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-22,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-26,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-28,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-09-30,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-02,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-03,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-04,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-07,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-09,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-22,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-26,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-28,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-30,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-10-31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-02,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-03,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-04,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-07,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-09,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-22,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-26,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-28,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-11-30,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-02,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-03,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-04,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-07,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-09,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-22,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-26,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-28,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-30,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1998-12-31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1999-01-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1999-01-02,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
1999-01-03,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
